site_id,peak_date,peak_flow_cfs,gage_height_ft
08176900,1979-05-11,19600.0,
08176900,1980-06-20,19100.0,
08176900,1981-08-31,32500.0,
08176900,1981-10-31,18600.0,
08176900,1982-11-19,14500.0,
08176900,1984-03-12,5690.0,
08176900,1985-06-13,1650.0,
08176900,1986-03-14,2960.0,
08176900,1986-12-23,10600.0,
08176900,1987-11-17,427.0,
08176900,1989-06-14,44.0,
08176900,1990-04-26,5310.0,
08176900,1991-04-05,13200.0,
08176900,1992-04-17,22600.0,
08176900,1993-05-06,12100.0,
08176900,1994-05-14,4740.0,
08176900,1994-10-18,26300.0,
08176900,1996-09-20,772.0,
08176900,1997-06-22,44500.0,
08176900,1998-09-11,22700.0,
08176900,1998-11-14,14900.0,
08176900,2000-06-11,687.0,
08176900,2001-08-31,31300.0,
08176900,2002-07-16,5910.0,
08176900,2002-11-05,8060.0,
08176900,2004-05-14,5750.0,
08176900,2004-11-21,20800.0,
08176900,2006-07-05,803.0,
08176900,2007-07-02,17000.0,
08176900,2008-07-09,88.0,
08176900,2009-04-28,1620.0,
08176900,2009-11-21,4550.0,
08176900,2011-01-16,594.0,
08176900,2012-07-12,234.0,
08176900,2014-05-26,3020.0,
08176900,2015-06-18,14800.0,
08176900,2016-06-08,1680.0,
08176900,2017-08-26,8580.0,9.0
08176900,2018-09-15,178.0,
08176900,2018-12-08,4980.0,
08176900,2020-05-13,1880.0,
08176900,2021-07-10,10500.0,
08176900,2021-10-14,1550.0,
08176900,2023-05-14,19500.0,
08176900,2024-02-03,8810.0,
